#Cleaned up table to remove duplicates
#On-Source integration time needs to be validated (may have changed between early measurements and 2021 measurements)
#Used last saved measurement in v2 from DATAv2  -- measurements matched ascii spectrum (last saved)
#need to check /data/scratch/dfrayer/GOALS/AGBT10B14/FINAL/Summary_LOG_reduction to verify consistency
#See APJ area for production of this file
#
#Table (c,a names used in program reading and computing 
#(c0) src name
#(a1) Dlum Mpc
#(a2) log10(Lir)
#(a3) Observed F-name
#(c1) Fit mode (0 nondect, 1 gmeasure, 2 gaussian, 3 gaussian ABS, 4 non-gauss ABS, 5 Emission+Abs lower limit)
#(c2) Observed Optical Velocity
#(c3) On-Source Integration time in min (effective with Dual Polarization)
#(c4) Line Jy km/s from stats
#(c5) Peak in mJy
#(c6) ch1
#(c7) ch2
#(c8) Continuum Level Jy
#(c9) RMS in mJy for 7 raw channels (21.36kHz)
#(c10) Line Jy km/s for 50%
#(c11) error on Line
#(c12) Line width 50%
#(c13) error on line width
#(c14) center velocity
#(c15) error on center velocity
#(c16) Line Jy km/s for 20%
#(c17) error on Line
#(c18) Line width 20%
#(c19) error on line width
#(c20) center velocity
#(c21) error on center velocity
#
F13497+0220 155.0 11.66	 F13497+0220 1  9905.0   45.85  6.57  20.13 226 351  0.083  1.45  6.56 0.16  435.5  23.8  9893.6  11.9  6.56 0.16  550.9  23.8  9916.2  11.9
F13564+3741 58.7 11.08	 F13564+3741 1  3469.0   22.93 19.55  51.85 216 363  0.145  2.13 19.50 0.25  543.2  12.6  3474.4   6.3 19.51 0.25  636.6  12.6  3472.0   6.3
F14179+4927 120.0 11.39	 F14179+4927 1  7714.0  166.47  0.36   3.20 246 321  0.011  0.72  0.35 0.04  105.8 223.6  7785.7 111.8  0.36 0.07  365.0 223.6  7687.8 111.8
F14280+3126 60.2 11.13	 F14280+3126 1  3562.0   22.93  4.52  19.64 249 342  0.035  1.83  4.51 0.16  300.6  23.1  3568.8  11.6  4.54 0.17  374.2  21.5  3573.9  10.8
F14348-1447 387.0 12.39	 F14348-1447 0 24802.0   91.73  0.00   0.00   0   0  0.102  1.33  0.00 0.00    0.0   0.0     0.0   0.0  0.00 0.00    0.0   0.0     0.0   0.0
F14423-2039 67.1 11.15	 F14423-2039 1  4119.0   22.93 17.96  50.36 225 363  0.090  2.40 17.92 0.26  458.6  21.8  4105.6  10.9 17.92 0.28  608.9  18.9  4094.9   9.4
F14547+2449 157.0 11.74	 F14547+2449 1 10091.0   35.52  7.52  23.32 249 370  0.119  1.72  7.50 0.18  429.9  28.8  9997.2  14.4  7.50 0.19  533.8  18.6 10007.3   9.3
F15107+0724 65.4 11.35	 F15107+0724 3  3894.0   45.85 -2.04   2.23 256 326  0.019  1.34  1.81 0.13  125.2   7.0  3899.1   8.2  2.05 0.09  219.4  22.4  3891.0  11.2
F15163+4255 183.0 11.92	 F15163+4255 2 12049.0  152.92  0.66   4.78 226 330  0.063  0.74  0.65 0.09  284.3  30.6 12151.7 112.1  0.64 0.07  387.4  64.8 12132.8  32.4
F15250+3608 254.0 12.08	 F15250+3608 4 16534.0   99.38 -0.50   2.08 210 280  0.094  0.95  0.67 0.10  356.1  38.7 16656.0  19.3  0.67 0.10  425.6  41.8 16653.3  20.9
